"accumulation_period","term","estimate","std.error","statistic","p.value","district_no"
"3:10","(Intercept)",1741.6425602547,1634.58608783218,1.06549454520594,0.311701782356117,1003
"3:10","IR_t",-0.551328879130718,0.946824336465865,-0.58229267869119,0.573263041369353,1003
"3:10","IT_t",-236.165509196141,227.008767566185,-1.04033651091157,0.322682928287409,1003
"3:10","IR_t_squared",-0.000219793254792154,0.000182278933742103,-1.20580722237013,0.255647134824216,1003
"3:10","IT_t_squared",8.06936400761126,8.00034346255821,1.00862719774171,0.336935511772592,1003
"3:10","IR_t_IT_t",0.0594431326491435,0.0619661274343795,0.959284291439581,0.360034561258748,1003
"3:3","(Intercept)",85.3687945907349,13.2680303860973,6.43417237574219,7.4976719323844e-05,1003
"3:3","IR_t",-0.0267777033423374,0.395897808203224,-0.0676379176330063,0.94740714716724,1003
"3:3","IT_t",2.68536379409058,3.83669012490831,0.69991677895925,0.499937353257932,1003
"3:3","IR_t_squared",0.00088869089003409,0.00302152562859953,0.294119924591206,0.774680713592301,1003
"3:3","IT_t_squared",-0.176676956772412,0.515888606088395,-0.3424711356043,0.739085627312431,1003
"3:3","IR_t_IT_t",-0.0225420656167254,0.0382362027888965,-0.589547705382279,0.568573684495381,1003
"3:4","(Intercept)",87.0755559946463,38.4522687278278,2.26451023243864,0.0470069947043902,1003
"3:4","IR_t",0.213516692635919,0.578745518681444,0.368930187351384,0.719871025039718,1003
"3:4","IT_t",-1.88545148274076,12.4490794177155,-0.151453084961262,0.882630113227987,1003
"3:4","IR_t_squared",-0.000954326982370079,0.00190860672817379,-0.500012374620102,0.627885198574359,1003
"3:4","IT_t_squared",0.0879233107669475,1.04906120867429,0.0838114211448703,0.934860426465059,1003
"3:4","IR_t_IT_t",0.000560343305447445,0.045646024204021,0.0122758403435733,0.990446999130646,1003
"3:5","(Intercept)",-72.5544875602295,288.218305706942,-0.251734487794826,0.806344179722387,1003
"3:5","IR_t",0.211277237946207,1.18881693467882,0.177720582356347,0.862490815416305,1003
"3:5","IT_t",36.647524802616,48.2227394483105,0.759963561213649,0.46481585671348,1003
"3:5","IR_t_squared",-0.000636484919405205,0.00129574449930383,-0.491211747182543,0.633878280341266,1003
"3:5","IT_t_squared",-2.25530944902531,2.24498742867217,-1.00459780764084,0.338779680514491,1003
"3:5","IR_t_IT_t",0.000579450428715211,0.0937384577345909,0.0061815656318547,0.995189435673555,1003
"3:6","(Intercept)",-230.576232561116,366.982788696025,-0.628302578931309,0.543887930453052,1003
"3:6","IR_t",0.661539627095185,0.620665499445472,1.06585532414196,0.311546399425714,1003
"3:6","IT_t",51.0222268267788,62.4421523060471,0.817111917870865,0.432900339121202,1003
"3:6","IR_t_squared",-0.00118112948980223,0.000617665467725451,-1.91224789391534,0.0848892105224571,1003
"3:6","IT_t_squared",-2.45724487002253,2.72431416652901,-0.901968245884525,0.388282142951181,1003
"3:6","IR_t_IT_t",-0.0116064674645586,0.0429346038890601,-0.270328975074485,0.792404323869117,1003
"3:7","(Intercept)",475.599147933232,587.648659366528,0.80932567504862,0.437160900699934,1003
"3:7","IR_t",0.417684949931211,0.500501848433025,0.834532282425934,0.423469036064014,1003
"3:7","IT_t",-75.2029421996573,89.3416632083963,-0.841745491397901,0.419604785003112,1003
"3:7","IR_t_squared",-0.000963789350891664,0.000250367775502993,-3.84949440460298,0.00321487319664432,1003
"3:7","IT_t_squared",3.01692808061731,3.40284951372504,0.886588745240963,0.39612132637274,1003
"3:7","IR_t_IT_t",0.0130479573704977,0.0365128855285524,0.357352128751765,0.728254825576591,1003
"3:8","(Intercept)",-1125.99734462202,770.672973884004,-1.46105726135337,0.174696871290613,1003
"3:8","IR_t",1.33597726357563,0.596552982592464,2.23949473485124,0.0490462640125271,1003
"3:8","IT_t",144.699727651962,107.62264862435,1.34451000325245,0.208486249118412,1003
"3:8","IR_t_squared",-0.000946524017556734,0.000233143785695164,-4.05982949420885,0.0022871864167766,1003
"3:8","IT_t_squared",-4.73636393960056,3.80846942628892,-1.24363974328023,0.241996405499164,1003
