district_no,accumulation_period,Year,stations_rain,stations_temp,Y_t,IR_t,IT_t,prediction,strike_level_mixed,strike_level_IT,strike_level_IR,n_put_IT,n_call_IT,n_put_IR,n_call_IR,n_put_mixed,n_call_mixed,n_IT,n_IR,n_mixed
9773,3:4,2019,7331,3621,83.784705882353,91,8.31803278688525,84.5019171341616,83.48014705882355,7.121106557377048,76.5625,0,1.196926229508203,0,14.4375,0,1.021770075338054,1.196926229508203,14.4375,1.021770075338054
9773,3:4,2020,7331,3621,91.6923529411765,76.1,7.9655737704918,86.54833897097,83.48014705882355,7.121106557377048,76.5625,0,0.8444672131147524,0.4625000000000057,0,0,3.068191912146446,0.8444672131147524,0.4625000000000057,3.068191912146446
9773,3:4,2021,7331,3621,72,45.2,5.5655737704918,69.7625047517036,83.48014705882355,7.121106557377048,76.5625,1.555532786885248,0,31.362499999999997,0,13.717642307119945,0,1.555532786885248,31.362499999999997,13.717642307119945
9774,3:4,2006,7331,3485,82.6382352941176,147.3,4.78360655737705,84.0364102469061,84.8816176470588,6.7038934426229515,76.5625,1.9202868852459014,0,0,70.73750000000001,0.8452074001527023,0,1.9202868852459014,70.73750000000001,0.8452074001527023
9774,3:4,2007,7331,3485,90.6223529411765,37.6,8.0344262295082,91.6770479510309,84.8816176470588,6.7038934426229515,76.5625,0,1.3305327868852492,38.9625,0,0,6.795430303972097,1.3305327868852492,38.9625,6.795430303972097
9774,3:4,2008,7331,3485,92.4064705882353,137.5,5.92459016393443,88.2142145120793,84.8816176470588,6.7038934426229515,76.5625,0.7793032786885217,0,0,60.9375,0,3.3325968650204914,0.7793032786885217,60.9375,3.3325968650204914
9774,3:4,2009,7331,3485,82.1905882352941,108.7,7.05901639344262,87.6016170127938,84.8816176470588,6.7038934426229515,76.5625,0,0.35512295081966894,0,32.1375,0,2.719999365734992,0.35512295081966894,32.1375,2.719999365734992
9774,3:4,2010,7331,3485,76.2747058823529,43.6,5.92295081967213,80.0985637790093,84.8816176470588,6.7038934426229515,76.5625,0.7809426229508212,0,32.9625,0,4.783053868049507,0,0.7809426229508212,32.9625,4.783053868049507
9774,3:4,2011,7331,3485,85.9588235294118,56.1,7.7672131147541,88.5530268646934,84.8816176470588,6.7038934426229515,76.5625,0,1.0633196721311489,20.4625,0,0,3.67140921763459,1.0633196721311489,20.4625,3.67140921763459
9774,3:4,2012,7331,3485,85.5429411764706,46.9,7.16885245901639,86.8272616854424,84.8816176470588,6.7038934426229515,76.5625,0,0.46495901639343806,29.6625,0,0,1.9456440383835911,0.46495901639343806,29.6625,1.9456440383835911
9774,3:4,2013,7331,3485,72.2270588235294,92.9,4.9327868852459,73.1789223150335,84.8816176470588,6.7038934426229515,76.5625,1.7711065573770517,0,0,16.337500000000006,11.7026953320253,0,1.7711065573770517,16.337500000000006,11.7026953320253
9774,3:4,2014,7331,3485,94.6111764705882,37.7,8.00819672131148,91.565890167916,84.8816176470588,6.7038934426229515,76.5625,0,1.3043032786885282,38.8625,0,0,6.684272520857192,1.3043032786885282,38.8625,6.684272520857192
9774,3:4,2015,7331,3485,87.7952941176471,80.1,6.67213114754098,83.1873354269479,84.8816176470588,6.7038934426229515,76.5625,0.031762295081971814,0,0,3.5374999999999943,1.6942822201109067,0,0.031762295081971814,3.5374999999999943,1.6942822201109067
9774,3:4,2016,7331,3485,76.7794117647059,79.1,5.95737704918033,79.132791599317,84.8816176470588,6.7038934426229515,76.5625,0.7465163934426213,0,0,2.5374999999999943,5.748826047741801,0,0.7465163934426213,2.5374999999999943,5.748826047741801
9774,3:4,2017,7331,3485,85.4635294117647,97.3,7.23934426229508,86.945691613933,84.8816176470588,6.7038934426229515,76.5625,0,0.5354508196721284,0,20.737499999999997,0,2.06407396687419,0.5354508196721284,20.737499999999997,2.06407396687419
9774,3:4,2018,7331,3485,87.1476470588235,47.9,7.66065573770492,88.8885361632497,84.8816176470588,6.7038934426229515,76.5625,0,0.9567622950819681,28.6625,0,0,4.006918516190893,0.9567622950819681,28.6625,4.006918516190893
9774,3:4,2019,7331,3485,85.7317647058823,91,7.64426229508197,87.9716090597905,84.8816176470588,6.7038934426229515,76.5625,0,0.9403688524590184,0,14.4375,0,3.089991412731692,0.9403688524590184,14.4375,3.089991412731692
