"district_no","accumulation_period","corrcoef_"
12061,"3:5",0.673363326962361
12062,"3:5",0.688397709674682
12063,"3:8",0.812007814555191
12064,"3:6",0.652549205432963
12065,"3:9",0.680307419164321
12066,"3:5",0.797123382783701
12067,"3:5",0.663190890591148
12068,"3:8",0.807699578313421
12069,"3:9",0.756611736766264
12070,"3:6",0.831188347186488
12071,"3:6",0.683449089074874
12072,"3:3",0.738461000073732
12073,"3:7",0.641601696046945
13071,"3:9",0.778749318544778
13072,"3:10",0.786617771519728
13073,"3:10",0.815719835881998
13074,"3:10",0.873002279477088
13075,"3:10",0.738152417125011
13076,"3:7",0.769019006780088
14521,"3:8",0.664448936270767
14522,"3:5",0.818667215830818
14523,"3:7",0.602909865300489
14524,"3:8",0.78174577746075
14625,"3:9",0.654893562879683
14626,"3:7",0.858914675670078
14627,"3:6",0.669346548370263
14628,"3:8",0.704779160426786
14713,"3:6",0.751911006953191
14729,"3:9",0.626778390419689
14730,"3:6",0.685486814769131
15081,"3:6",0.744579410785737
15082,"3:6",0.858118258366703
15083,"3:7",0.701697682777538
15084,"3:8",0.679633772200913
15085,"3:6",0.655562293167311
15086,"3:4",0.625817338408872
15087,"3:3",0.679632205166521
15088,"3:6",0.700869602308034
15089,"3:6",0.819075482076345
15090,"3:7",0.810785849805579
15091,"3:6",0.917830059025049
16051,"3:10",0.696222974845676
16052,"3:9",0.727091843153601
16061,"3:6",0.829466897197799
16062,"3:7",0.688413938859816
16063,"3:6",0.723198397522638
16064,"3:5",0.554773147379878
16065,"3:10",0.692626552058179
16066,"3:4",0.78573035982115
16067,"3:8",0.658962828857886
16068,"3:6",0.696354465431966
16069,"3:7",0.748128500805101
16070,"3:8",0.814751865990735
16071,"3:8",0.801509297408527
16072,"3:8",0.614319825755432
16073,"3:9",0.819231509033315
16074,"3:8",0.834215393482977
16075,"3:6",0.72043164691435
16076,"3:10",0.711493909521608
16077,"3:10",0.818380088174211
