"district_no","accumulation_period","Year","stations_rain","stations_temp","Y_t","IR_t","IT_t","prediction"
1055,"3:8",2014,2306,596,111.987352941176,268.2,13.1108695652174,99.435152076678
1055,"3:8",2015,2306,596,109.460588235294,290.1,12.2679347826087,107.148133491013
1055,"3:8",2016,2306,596,99.0338235294118,265.2,12.6538043478261,106.232674284093
1055,"3:8",2017,2306,596,91.9070588235294,460.1,12.7423913043478,87.1546683543392
1055,"3:8",2018,2306,596,83.7802941176471,248.2,13.4271739130435,92.342860978995
1055,"3:8",2019,2306,596,96.3535294117647,334.7,13.3625,96.5146654909845
1055,"3:8",2020,2306,596,104.926764705882,295.8,12.9010869565217,101.913008421175
1055,"3:8",2021,2306,596,93.1,365.9,12.5559782608696,97.6605870620525
1056,"3:7",2006,1975,4039,84.1970588235294,254,11.4856209150327,84.4371456823124
1056,"3:7",2007,1975,4039,66.5505882352941,540.5,12.7248366013072,67.9057296474595
1056,"3:7",2008,1975,4039,89.3041176470588,320.4,12.0084967320261,88.0775357924499
1056,"3:7",2009,1975,4039,89.9576470588235,327.3,12.1450980392157,88.6506181429024
1056,"3:7",2010,1975,4039,82.1111764705882,257.9,11.5241830065359,84.7279694614483
1056,"3:7",2011,1975,4039,81.7647058823529,217.9,12.0843137254902,80.8902986026866
1056,"3:7",2012,1975,4039,85.7182352941176,301.4,11.6352941176471,86.6931849685644
1056,"3:7",2013,1975,4039,81.0717647058823,304.3,10.4535947712418,84.5366147730263
1056,"3:7",2014,1975,4039,98.6252941176471,295.5,13.0797385620915,91.3650294653331
1056,"3:7",2015,1975,4039,95.0788235294118,283.5,11.2287581699346,85.5570654763535
1056,"3:7",2016,1975,4039,83.9323529411765,363.9,12.2150326797386,88.2865469926083
1056,"3:7",2017,1975,4039,83.9858823529412,445.1,12.0673202614379,79.5457201524461
1056,"3:7",2018,1975,4039,70.8394117647059,169,13.0915032679739,71.5721618584474
1056,"3:7",2019,1975,4039,79.1929411764706,290.9,12.5745098039216,89.0876737404602
1056,"3:7",2020,1975,4039,83.4464705882353,222.7,11.6542483660131,81.5642454419012
1056,"3:7",2021,1975,4039,83.8,294.7,11.6862745098039,86.6789303898354
1057,"3:4",2006,2306,5280,91.2617647058824,91.1,4.02950819672131,90.5184020934653
1057,"3:4",2007,2306,5280,78.1576470588236,53.9,8.52131147540984,89.9963545866646
1057,"3:4",2008,2306,5280,100.153529411765,100.7,5.9016393442623,92.0052832297536
1057,"3:4",2009,2306,5280,96.3494117647059,48,7.81475409836066,90.0938898926862
1057,"3:4",2010,2306,5280,91.7452941176471,55.9,6.10819672131147,96.138123437729
