District Number,Precipitation-based index (%),Temperature-based index (%),Mixed index at two stations (%),Mixed index at same station (%)
8128,5.4747968295538,9.9586046643246e-4,15.37461564173227,16.15957594736272
8135,2.83521855425791,21.2946276575331,34.871026282114705,27.357877318858225
8136,5.31680498188529,21.4484290032726,23.01265542266959,23.137703349544044
8215,7.90259664805378,0.937095735410131,2.4588801245460976,1.3160592623400034
8225,0.295738939414858,1.995615662824,20.175423809992605,16.372057566147927
8226,7.76440442193356,2.18258034679151,13.638960555850025,13.884011672588478
8236,4.76091815229232,23.311111200048,32.37654436165927,32.17190298931241
8237,7.534631421911,19.4433848594172,33.61406667971574,33.14219984468696
8315,17.6193549849542,13.4975932866835,22.65774452681264,27.088304455103906
8317,40.0812340020294,13.0457634876871,27.06448466252021,26.65176184244977
8325,6.81024906825482,40.2419199238759,50.454809640537235,49.58105883152206
8327,3.98555735209901,2.24024739784159,27.322113662441293,29.251717408920808
8337,30.1038127915846,19.6343082126199,43.4637301334166,33.449935405660945
8415,12.5751688918267,13.4526992949552,24.875272877640324,27.77970983994227
8416,2.30386552841031,19.7435877621499,30.095299339568555,29.215220016437577
8417,0.0911572011215915,11.9978547198776,22.82492512709101,19.28504887741286
8425,12.4060818148829,8.45191688122449,22.112235536602785,20.652443647820967
8426,25.7324445002918,16.0757750968816,16.936506673311914,23.072172422595692
8436,6.21430482973902,15.3966750025439,17.14752922539535,14.61110998177328
8437,36.6988964157251,12.1562770473053,36.66384252473686,35.1508876282703
9171,32.2143497468257,3.42215155646083,29.781612629037213,31.014497671223474
9174,6.05071183189518,10.8201731023261,16.600100345883053,14.9607540940081
9175,25.0395943366004,15.3424004349574,26.027440698373123,33.14729580282829
9176,5.12686782431984,0.574084038060038,23.324696907577493,29.3419005541123
9177,14.1329215102009,14.2833565199952,18.205236925840193,18.12769828003607
9178,8.58788584683113,5.90171912289078,10.827993249842653,16.002237974440266
9179,13.7775839422781,15.8239246077325,16.541155606131454,13.406407816300932
9181,0.0675570805237183,18.617708803994,19.120607444259992,16.89580178647547
9183,33.6762146454504,19.6799555461907,31.05177318344236,36.96302960225161
9184,14.7375685630642,4.99973575175817,16.188266239886172,7.170871398632168
9185,27.0424566150448,13.9333975995838,20.20502996720637,28.57151599502653
9186,2.8762815530633,0.020115292069204,22.697781352635907,19.085137095047617
9187,0.027831126286281,5.70402484369261,25.175550429212272,24.781210399552847
9189,28.9286912364796,21.3379785146145,27.05370953589933,29.988988386712773
9271,24.3591127480861,17.6652382765367,30.792470146662616,33.912044851425414
9273,14.509309137157,23.0519960712006,33.081840129656754,33.15375067936555
9274,7.32473974185042,18.1486323030064,32.67937719996073,32.799242862141476
9275,31.651301792211,8.95218326640946,29.689191462021668,31.051312080080702
9277,22.052666841442,17.4237132619935,26.82951163903603,28.182219934866044
9278,14.6044488225186,30.0836266498601,44.94238535945235,42.09355934394277
9279,11.6712002440588,19.2032051029208,32.57444315477236,31.50721253185307
9371,14.7324686715814,0.637976321029829,21.7903633727309,29.392035287438688
9372,5.08462047864376,9.60823844217858,29.671981206746235,21.33129772839511
9373,8.18642055017135,3.51093021180522,24.363374698335583,22.676771210903215
9374,13.3940578475756,8.07573768318897,19.53499753481247,18.53751140235128
9375,35.0309918459916,0.364016273620284,32.05412174057447,30.558599273108992
9376,10.1007996119901,3.39361000728528,21.492352555356582,26.338479845987
9377,17.5292825665912,5.30466776845623,21.323275582797955,22.413210908511942
