"district","Std_Without","Std_With","Hedging_Effectiveness"
1003,133.620557300639,108.75750087203,18.6072090484314
1051,113.449242688819,111.756687295514,1.49190541354998
1053,141.779622419209,133.131756874862,6.09951232538713
1054,110.320696154439,109.80761916352,0.465077731381104
1055,151.752219094154,146.865040318092,3.22049905117312
1056,126.805762224488,113.450302524882,10.5322183040564
1057,140.384690523338,134.917552324087,3.89439772874789
1058,119.779308174103,119.750729237572,0.0238596607098278
1059,124.747980611578,120.541914578498,3.37165059703565
1060,172.282899132019,159.053782751365,7.6787170678597
1061,163.970859199635,160.399734785741,2.17790187312864
1062,155.856994282152,131.8387919334,15.4104103311982
3101,129.26640192512,128.956671606127,0.23960620422631
3102,118.688612202969,117.301113204692,1.1690245361566
3103,114.401491831765,112.184616396323,1.93780290793955
3151,114.356728413038,114.232193298003,0.108900557722126
3153,112.537946192977,111.46799164846,0.950750018737723
3154,104.269957322327,104.146268965437,0.118623197004044
3155,101.872338411039,99.4565813589161,2.37135722002975
3157,106.846581601846,105.926673182513,0.860961956426048
3158,122.980540466097,122.966935888043,0.0110623827171208
3159,105.346938154422,103.884914426872,1.38781795955616
3241,88.4613361870597,88.0122989008824,0.507608527671051
3251,106.015344801275,104.563597459007,1.36937473060086
3252,95.0169669059163,92.4734834943953,2.67687287265183
3254,88.3242511054203,86.4850630029162,2.08231383735013
3255,106.699278348075,104.397495796511,2.15726159276861
3256,98.6269469600812,97.7174428564823,0.92216593094681
3257,93.3418662766071,91.7210177167761,1.73646470173181
3351,116.809314697074,116.168738317021,0.548394947537933
3352,122.89538098182,122.429604754339,0.379002224298663
3353,126.191050924118,122.903919870901,2.60488444239519
3354,137.219901374886,137.118366362987,0.073994377551315
3355,134.713919102667,125.058606254599,7.16727188428828
3357,166.530205468357,165.536244989936,0.596864980515558
3358,133.990328009151,132.696218332681,0.965823202090825
3359,111.232417337153,111.146623014783,0.0771306822456245
3360,107.602626981563,104.7572101295,2.64437489295755
3361,149.667293242935,149.621313843553,0.030721073646704
3452,131.91463906633,125.702704308332,4.70905640341747
3453,104.616837395644,104.568532125393,0.046173514181451
3454,135.015732416634,133.478636269843,1.1384570666529
3455,140.484153317495,130.401014537279,7.17742075679375
3456,111.856670193005,104.379556446886,6.68454883666544
3457,106.619272804373,89.1454964657282,16.3889472128609
3458,128.117237976264,128.022561928967,0.0738979771907129
3459,71.3403111851918,64.2302390707584,9.96641589630352
3460,123.018394288551,119.595770571347,2.78220483773775
3462,160.162983655192,152.928464595475,4.51697320730015
5158,91.22800739539,90.8813080238983,0.380036111047642
5162,103.757614981584,103.322103400982,0.419739390385119
5166,93.3303809056836,92.57603277142,0.808255711530782
5334,150.140959911293,142.148584841396,5.32324761651904
5370,130.775247403067,121.156446605869,7.35521514063863
5382,92.705929332127,85.9617897585067,7.27476615811587
5558,126.224984320326,112.51043618075,10.865161293879
5570,99.6940386047899,96.609529820171,3.09397515416805
5754,131.514257782189,129.027933943337,1.89053558205799
5762,96.9635532902269,84.0602296707848,13.3073955951474
5766,101.866945898396,84.8456399080607,16.7093514389961
5915,108.327552666285,96.7975092220178,10.6436849725447
5974,91.4718754590721,79.4341244639347,13.1600570500204
6432,77.8152341554446,73.5529568826461,5.47743294620705
6433,81.0627411330261,72.214074904566,10.9158240947456
6434,95.6482444515667,91.6576611399189,4.17214485694881
6435,97.8750223499336,82.7380653544558,15.4655974854937
6437,100.998745866801,100.744427405145,0.251803583770745
6439,114.743493642704,105.395064980843,8.14724074113647
6440,82.2861997340178,77.2519638429878,6.11795891328397
6531,125.969223754588,123.722728540621,1.78336830775666
6533,110.7472317186,103.919293147715,6.16533566115184
6534,88.7684628682957,87.9414659917618,0.931633656607172
6535,89.5475441688194,80.1601771643433,10.4831093824065
6631,100.715308336585,100.146212774199,0.565053686261519
6632,110.411593594151,109.893056100585,0.469640439637565
6633,108.49481708051,101.291959172796,6.63889584916254
6634,103.467560133599,93.5114289716954,9.62246635471872
6635,76.7626992751037,74.3274356995767,3.17245693354192
6636,76.4273598479846,71.3242414229965,6.67708322665898
7133,80.5511017925888,80.5498464724801,0.00155841457254731
7137,111.782598526485,111.183241484991,0.536180988270774
7140,106.19609534567,97.0312812934794,8.63008571300018
7141,126.971198833961,118.73558610467,6.48620537958451
7231,82.5993058889319,78.2710130900731,5.24010795523977
7232,77.293966991825,71.3258424331971,7.72133297189818
7235,85.9528552948262,85.9029150517123,0.0581019012604168
7331,106.872684380372,102.679667526019,3.92337563023096
7332,102.639511560282,100.941096482581,1.65473807492173
7333,114.485189726299,100.852706550375,11.9076390653809
7334,100.913745347202,84.9995586265985,15.7700882727618
7336,111.557028764066,109.720238722112,1.64650319419887
7337,104.979998094875,90.4024589611114,13.8860158109256
7339,73.9140401637831,71.465744439876,3.31235543136597
7340,126.611131685435,105.664223671019,16.5442862215775
8115,89.2836677860701,86.0376977429788,3.6355697784156
8116,126.617155235774,126.60481063475,0.00974954855120746
8117,118.435310050114,97.7999884955623,17.4232849526212
8118,80.5185858461676,76.5040098353366,4.98589980020379
8119,75.4926928031228,69.3634053412534,8.1190473333014
8125,88.5398591972377,86.5430428953317,2.2552738619764
8126,132.267365589551,131.263653913342,0.758850583993582
8127,115.400889655727,114.139947851254,1.09266211745413
8128,125.582461620509,118.707076993234,5.4747968295538
8135,101.072858209643,98.2072217803647,2.83521855425791
8136,111.889469269156,105.940524392848,5.31680498188529
8215,95.7808609970349,88.2116858864062,7.90259664805378
8225,97.096790197548,96.8096371800119,0.295738939414858
8226,93.5069623076271,86.246703591398,7.76440442193356
