"district","Std_Without","Std_With","Hedging_Effectiveness"
1003,133.620557300639,120.75117224657,9.63129125791108
1051,113.449242688819,106.175981293798,6.41102683688387
1053,141.779622419209,119.839887304096,15.4745334630967
1054,110.320696154439,107.665756148502,2.40656567487547
1055,151.752219094154,145.097858989608,4.38501667011336
1056,126.805762224488,105.629473288896,16.6997844294355
1057,140.384690523338,132.758942357782,5.43203688174801
1058,119.779308174103,112.303817491781,6.24105348100365
1059,124.747980611578,117.440017602061,5.85818140998323
1060,172.282899132019,149.188906673885,13.4046922674762
1061,163.970859199635,142.921136025718,12.8374781206026
1062,155.856994282152,139.678192063021,10.3805429417189
3101,129.26640192512,97.8117994163739,24.3331616261484
3102,118.688612202969,93.0034719787963,21.6407789655913
3103,114.401491831765,108.245113616548,5.38137931301623
3151,114.356728413038,99.7588077078208,12.7652486283902
3153,112.537946192977,93.2440448211458,17.1443517715761
3154,104.269957322327,95.8850344333269,8.04155204847782
3155,101.872338411039,85.9754942399237,15.6046719051195
3157,106.846581601846,88.85109031658,16.8423650204597
3158,122.980540466097,105.503495689207,14.2112278175489
3159,105.346938154422,89.4386247708577,15.1008787367366
3241,88.4613361870597,74.7046854324271,15.5510320639323
3251,106.015344801275,80.5165936053449,24.051943842401
3252,95.0169669059163,83.9958275260537,11.5991277544941
3254,88.3242511054203,66.7228860882796,24.4568900916671
3255,106.699278348075,89.0700099315941,16.5223876762978
3256,98.6269469600812,86.5901648600507,12.2043543585531
3257,93.3418662766071,87.7358695946053,6.00587593287352
3351,116.809314697074,99.3938228526187,14.9093348331161
3352,122.89538098182,118.272441058066,3.76168728785526
3353,126.191050924118,114.471874713854,9.28685205840108
3354,137.219901374886,113.189014677252,17.5126832601204
3355,134.713919102667,117.875242532113,12.4995818418148
3357,166.530205468357,144.514800393932,13.2200672019277
3358,133.990328009151,115.671154135064,13.6720121118264
3359,111.232417337153,106.850681847999,3.93926122802188
3360,107.602626981563,95.7167392350079,11.0460943937655
3361,149.667293242935,125.500826260188,16.1467923011882
3452,131.91463906633,131.914375034168,0.000200153798813982
3453,104.616837395644,101.682827937213,2.8045289185479
3454,135.015732416634,134.689939561493,0.241299920615738
3455,140.484153317495,128.015278825531,8.87564483076169
3456,111.856670193005,110.78727002159,0.95604506156819
3457,106.619272804373,100.147808343918,6.06969480304818
3458,128.117237976264,114.315864647304,10.7724561869783
3459,71.3403111851918,71.0692424985866,0.379965663314146
3460,123.018394288551,92.2010015649458,25.0510445221061
3462,160.162983655192,145.062437015267,9.42823759604443
5158,91.22800739539,90.7635476144624,0.509119725606433
5162,103.757614981584,102.238759358048,1.46384978471769
5166,93.3303809056836,91.6891510563761,1.75851618024155
5334,150.140959911293,140.624505388289,6.3383466634465
5370,130.775247403067,130.370955222469,0.309150384821326
5382,92.705929332127,92.6670338350213,0.0419557814543207
5558,126.224984320326,120.781215207436,4.31275087273968
5570,99.6940386047899,93.9468935424629,5.76478307304814
5754,131.514257782189,84.2357637327134,35.9493296367737
5762,96.9635532902269,85.0217422736039,12.3157728975538
5766,101.866945898396,97.8009562728718,3.99147102101142
5915,108.327552666285,108.25595783165,0.0660910662823645
5974,91.4718754590721,88.5230094473492,3.22379528890536
