stations_id,von_datum,bis_datum,geobreite,geolaenge,kreis_code,res,var,per,dist,kreis_code_in,state
891,1946-01-01,2024-05-12,53.8713,8.706,Cuxhaven,daily,kl,historical,39.252975456196204,1051,Dithmarschen
7298,2005-07-01,2024-05-12,54.5268,9.0425,Hattstedt,daily,kl,historical,43.896378427263876,1051,Dithmarschen
4919,1977-10-01,2024-05-12,54.4965,8.8069,Strucklahnungshoern,daily,kl,historical,44.79040992731567,1051,Dithmarschen
2437,1971-01-01,2024-05-12,54.457,9.5203,Schleswig-Jagel,daily,kl,historical,44.819370133110745,1051,Dithmarschen
6105,1998-06-01,2024-05-12,54.3194,9.8051,Ostenfeld (Rendsburg),daily,kl,historical,49.81929967358276,1051,Dithmarschen
6108,2001-06-27,2024-05-12,53.7197,9.4192,Ruthenstrom,daily,kl,historical,50.371435094619564,1051,Dithmarschen
3639,1974-01-01,2024-05-12,53.7647,8.6584,Nordholz-Wanhoeden,daily,kl,historical,50.482984730913834,1051,Dithmarschen
19171,2020-09-01,2024-05-12,54.0039,9.8555,Hasenkrug-Hardebek,daily,kl,historical,50.90221188701863,1051,Dithmarschen
4841,1998-10-01,2024-05-12,53.6946,8.8735,"Steinau, Kr. Cuxhaven",daily,kl,historical,51.190271599620424,1051,Dithmarschen
4466,1947-01-01,2024-05-12,54.5275,9.5487,Schleswig,daily,kl,historical,52.29074127168131,1051,Dithmarschen
7427,2007-09-01,2024-05-12,54.0188,9.9255,Padenstedt (Pony-Park),daily,kl,historical,54.87802248951562,1051,Dithmarschen
1963,1969-01-01,2024-05-12,54.5742,8.5133,Hallig Hooge,daily,kl,historical,62.289793853765936,1051,Dithmarschen
4039,1974-12-01,2024-05-12,53.7331,9.8776,Quickborn,daily,kl,historical,67.28475572063951,1051,Dithmarschen
102,1998-01-01,2024-05-12,53.8633,8.1275,Leuchtturm Alte Weser,daily,kl,historical,70.76509616061377,1051,Dithmarschen
4857,1990-11-01,2024-05-12,53.5534,9.6097,Mittelnkirchen-Hohenfelde,daily,kl,historical,72.46596800953938,1051,Dithmarschen
2564,1974-01-01,2024-05-12,54.3776,10.1424,Kiel-Holtenau,daily,kl,historical,72.48174977068123,1051,Dithmarschen
1379,1957-01-01,2024-05-12,54.7737,9.3753,Flensburg (Schaeferhaus),daily,kl,historical,73.22366061107213,1051,Dithmarschen
19243,2024-01-01,2024-05-12,54.6831,8.4721,Foehr,daily,kl,recent,73.62522483411625,1051,Dithmarschen
2907,1974-11-01,2024-05-12,54.7903,8.9514,Leck,daily,kl,historical,73.68729642032814,1051,Dithmarschen
701,1949-01-01,2024-05-12,53.5332,8.5761,Bremerhaven,daily,kl,historical,75.34352012300906,1051,Dithmarschen
704,1979-04-01,2024-05-12,53.4451,9.139,Bremervoerde,daily,kl,historical,76.61383684035262,1051,Dithmarschen
5280,1981-04-01,2024-05-12,53.9224,10.2267,Wittenborn,daily,kl,historical,76.78833255767485,1051,Dithmarschen
2115,1952-05-01,2024-05-12,54.175,7.892,Helgoland,daily,kl,historical,79.27873030766388,1051,Dithmarschen
1975,1936-01-01,2024-05-12,53.6332,9.9881,Hamburg-Fuhlsbuettel,daily,kl,historical,80.18855726341775,1051,Dithmarschen
6163,1999-10-04,2024-05-12,54.1654,10.3519,Doernick,daily,kl,historical,81.11559061062647,1051,Dithmarschen
1666,1971-01-01,2024-05-12,54.8273,9.5058,Gluecksburg-Meierwik,daily,kl,historical,81.28763792087459,1051,Dithmarschen
5930,1981-08-01,2024-05-12,54.641,10.0238,Schoenhagen (Ostseebad),daily,kl,historical,81.85332846895702,1051,Dithmarschen
2961,1998-01-01,2024-05-12,54.4996,10.2737,Leuchtturm Kiel,daily,kl,historical,85.87965381094004,1051,Dithmarschen
6157,1999-02-01,2024-05-12,53.6411,8.0809,Wangerland-Hooksiel,daily,kl,historical,86.76480000566264,1051,Dithmarschen
1981,1962-05-01,2024-05-12,53.4776,9.8957,Hamburg-Neuwiedenthal,daily,kl,historical,89.46210391317679,1051,Dithmarschen
5014,1952-01-01,2024-05-12,53.2758,8.9857,Worpswede-Huettenbusch,daily,kl,historical,95.7472713509819,1051,Dithmarschen
642,1966-01-01,2024-05-12,53.3518,8.4969,Brake,daily,kl,historical,95.78209180138222,1051,Dithmarschen
4896,1974-12-01,2022-11-30,54.6654,9.805,Wagersrott,daily,kl,historical,74.37631607895351,1051,Dithmarschen
1736,1951-01-01,2024-05-12,53.5731,10.6797,Grambek,daily,kl,historical,5.432844692536005,1053,Herzogtum Lauenburg
591,1947-01-01,2024-05-12,53.3911,10.6878,Boizenburg,daily,kl,historical,22.729959950987055,1053,Herzogtum Lauenburg
3086,1985-03-01,2024-05-12,53.8025,10.6989,Luebeck-Blankensee,daily,kl,historical,24.581646095700066,1053,Herzogtum Lauenburg
1975,1936-01-01,2024-05-12,53.6332,9.9881,Hamburg-Fuhlsbuettel,daily,kl,historical,40.787503427882484,1053,Herzogtum Lauenburg
