district_no,Std_Without,Std_With,Hedging_Effectiveness
1003,133.62055730063895,131.79563404010128,1.3657503735983496
1051,113.4492426888195,104.67778962338113,7.731610064156734
1053,141.77962241920852,136.60886442055667,3.6470389118142474
1054,110.32069615443876,103.55974978084346,6.128447888083125
1055,151.75221909415365,147.65809116404105,2.6979031704125642
1056,126.80576222448781,113.57224757451957,10.436051499411029
1057,140.3846905233378,136.90197902275582,2.480834261626992
1058,119.77930817410274,118.15215175807343,1.3584620255647064
1059,124.7479806115781,117.31298740168997,5.960010874274688
1060,172.2828991320187,167.44409780109254,2.8086370471501336
1061,163.97085919963544,132.81062146594053,19.003521653659906
1062,155.8569942821517,155.1727680829874,0.43900897891411184
3101,129.26640192512,128.87748168583056,0.30086722728982795
3102,118.6886122029686,110.02553868770727,7.298993015814076
3103,114.40149183176474,113.96089954964795,0.3851280914804131
3151,114.356728413038,109.8707152092257,3.922824014000778
3153,112.53794619297679,112.49610708273553,0.03717778016804319
3154,104.2699573223275,103.30569165211423,0.9247780424733959
3155,101.87233841103938,101.11224230004399,0.7461261053304964
3157,106.84658160184628,97.1181396297055,9.1050568266123
3158,122.98054046609703,122.55315909065284,0.3475195131070383
3159,105.34693815442186,102.33783157621001,2.8563778225817864
3241,88.4613361870597,84.83508420711965,4.0992507418970074
3251,106.01534480127549,95.05798221310822,10.335638306611857
3252,95.01696690591632,94.55808348635667,0.48294892428426056
3254,88.32425110542026,83.15578077714628,5.851700143038978
3255,106.6992783480751,106.55752077177156,0.13285710878108334
3256,98.62694696008118,98.48279707034366,0.14615669873251147
3257,93.34186627660708,90.89818662433426,2.6179888508242137
3351,116.80931469707372,100.82582739919152,13.683401310360232
3352,122.89538098181993,120.30499472310136,2.1077978993382724
3353,126.19105092411797,119.74431133814382,5.10871376279349
3354,137.21990137488558,128.0816388446426,6.659575206425183
3355,134.71391910266735,131.25357299556657,2.5686626372020234
3357,166.5302054683574,159.02256269915176,4.508276890724288
3358,133.99032800915145,128.67085379250335,3.970043432004127
3359,111.23241733715342,103.47748888182085,6.971824078790656
3360,107.60262698156274,96.04948579186025,10.736857931621008
3361,149.6672932429349,145.17763434539677,2.9997595334677913
3452,131.91463906632956,131.0513062706978,0.6544632208694035
3453,104.61683739564424,98.9158258836061,5.44942062287528
3454,135.01573241663357,124.11027306416273,8.077176753608692
3455,140.48415331749462,138.7624489679262,1.2255505755708755
3456,111.85667019300489,110.84979185054983,0.9001504699878146
3457,106.6192728043731,101.45081029638179,4.847587468988363
3458,128.11723797626402,118.9271593640313,7.17317884571891
3459,71.34031118519177,68.21851130283679,4.375926920547236
3460,123.01839428855075,109.66879085111242,10.85171328616567
3462,160.1629836551921,145.20061370349882,9.341965047245324
5158,91.22800739539002,91.22186185390584,0.006736463570394592
5162,103.7576149815842,103.40712758577423,0.3377943834504785
5166,93.33038090568364,92.40957835392359,0.9866053720391196
5334,150.14095991129267,149.32430266087144,0.5439270209166991
5370,130.77524740306683,129.0533528457423,1.316682316812923
5382,92.70592933212704,90.7076038662672,2.1555530269273944
5558,126.2249843203265,119.36736285217033,5.432855868496914
5570,99.69403860478988,83.33989070031825,16.40433884848746
5754,131.51425778218876,104.97348560548694,20.18090861346616
5762,96.96355329022687,92.43871635562316,4.666533744963097
5766,101.86694589839566,93.20205999231872,8.506081957850666
5915,108.32755266628462,104.61176015968641,3.4301453463507374
5974,91.47187545907214,85.25907386509066,6.792034778778879
6432,77.81523415544459,65.5765832082178,15.727834118931932
6433,81.0627411330261,80.12945831076641,1.1513092318555362
6434,95.64824445156673,95.11201527223214,0.5606262638789078
6435,97.87502234993356,94.11276791245105,3.8439372448174622
6437,100.9987458668011,100.9826722078748,0.015914711403942218
6439,114.74349364270432,114.57249677811535,0.14902532523668202
6440,82.28619973401779,77.9991084926361,5.209975980467317
6531,125.9692237545875,120.70516556048625,4.178844671105269
6533,110.74723171860023,110.40822858529967,0.30610528862874403
6534,88.76846286829573,84.33272752729731,4.99697212013195
6535,89.54754416881941,88.26494075671444,1.4323155637712959
6631,100.71530833658476,100.15640502984259,0.5549338188732383
6632,110.41159359415117,107.6068107222263,2.5402974276728933
6633,108.49481708051002,98.06338000433595,9.614687002452179
6634,103.46756013359935,97.50092561243697,5.766671711846825
6635,76.76269927510366,75.68224406897188,1.4075263328867804
6636,76.4273598479846,74.57082863646508,2.42914476597412
7133,80.55110179258878,80.48212807189006,0.08562728400205172
7137,111.78259852648502,110.65918378792357,1.0049996630694502
7140,106.19609534567016,100.65257119605675,5.220082839740138
7141,126.97119883396128,124.12282169912785,2.243325384804956
7231,82.59930588893188,76.58203849100508,7.284888575235716
7232,77.293966991825,75.50790736223578,2.3107361403486
7235,85.95285529482622,85.5408994559794,0.4792811564360201
7331,106.87268438037228,105.42135461305818,1.3579987961644546
7332,102.63951156028233,102.04026200441027,0.5838390564827578
7333,114.48518972629897,112.06425840905804,2.1146240164589636
7334,100.91374534720234,98.18613477253056,2.70291283440843
7336,111.55702876406608,101.88597822098113,8.669153929815055
7337,104.97999809487519,103.89481704822572,1.0337026732166061
7339,73.91404016378307,71.72873834677841,2.9565449435078053
7340,126.61113168543541,125.5302747157793,0.8536824173892492
8115,89.2836677860701,88.43645216405366,0.948903246276153
8116,126.61715523577365,125.68088447831573,0.7394501603787341
8117,118.43531005011413,113.37842934142947,4.269740761049146
8118,80.51858584616764,72.87555732465592,9.492253796053847
8119,75.49269280312276,72.32625792084997,4.194359433608408
8125,88.53985919723766,88.25715449252891,0.31929653748259973
8126,132.26736558955122,131.5191634788996,0.5656740098486732
8127,115.40088965572724,115.18046994683091,0.1910034745433096
8128,125.5824616205092,125.4788964476359,0.08246786337590743
8135,101.07285820964333,92.29851374196909,8.681207421160158
8136,111.8894692691557,111.27106727862503,0.5526900740257105
8215,95.78086099703494,92.8794834837047,3.0291829527613547
8225,97.09679019754805,96.98874742046173,0.1112732736751574
8226,93.5069623076271,88.45052788380553,5.407548592142781
8236,95.4982443119593,94.25118645402713,1.3058437533767235
8237,126.74434109655549,124.23070420270878,1.9832340222052103
8315,189.13867928057442,185.31474674617826,2.0217612541978363
8317,132.56380602059775,128.88958543961834,2.7716619575697066
8325,103.59464593629664,103.20460911481547,0.3765028761438307
8327,93.78733389962633,87.27736897076983,6.941198409396774
8337,160.3929840527114,157.9305057975878,1.535278035798822
8415,82.30700253724874,81.72604018812727,0.7058480216899459
8416,137.79691336649503,136.30766124001582,1.0807586977788741
8417,113.06295591395087,110.80236513469188,1.9994088788722844
8425,76.12081625065949,74.03493013906524,2.7402308781419267
8426,130.90075630033616,130.18799939107026,0.5445017503417291
8436,136.55400885119897,136.2476797863407,0.2243281375884493
8437,133.0846347254258,130.6647601312392,1.8182975060788624
9171,109.26796419811251,104.67372748717801,4.204559629760043
9174,126.22637864831053,121.55015128093551,3.704635605845775
9175,133.81571407474286,113.54230647039186,15.150244307650794
9176,85.45158473272063,83.95383095024732,1.7527513236390562
9177,119.3859846604003,112.6108994907868,5.67494181908
9178,124.91823459100489,124.7800739650904,0.11060084731972604
9179,131.9405118478273,124.39870513758422,5.716065978993158
9181,115.417387482707,109.82245208727586,4.847567179831917
9183,121.24931889843066,114.57946967746122,5.5009374745904385
9184,86.97432571358823,84.84898955335794,2.4436362602328785
9185,109.97711277049119,109.33687293898095,0.5821573374510617
9186,81.37531157134411,75.30923535898594,7.454442994101304
9187,81.05063437958604,71.59171631007473,11.67038128932116
9189,126.73087495423783,113.9196377597508,10.109010293752913
9271,121.38608377130113,115.25691394150441,5.049318372725869
9273,93.0073545479066,92.52861126453372,0.5147370180562286
9274,96.86009154101255,96.72373925668185,0.14077240911233682
9275,144.04410435696423,136.0225260742319,5.568834849952326
9277,129.03051835386336,118.82083936189281,7.912607902551184
9278,111.17025981199588,109.49460703817783,1.5072851108307221
9279,111.15601048376408,107.67336961225705,3.133110712007534
9371,100.74787011809896,100.3927333110954,0.3525005606443702
9372,93.04060762197689,93.02624356159315,0.01543848514199542
9373,80.71619416201439,80.58361307099695,0.16425587503707667
9374,98.8267710019237,98.33815870295967,0.4944128944114924
9375,77.80125106106371,77.54161683605165,0.3337147172714301
9376,130.9825840840428,128.59149818238612,1.8254991061425998
9377,101.63920503427798,101.56583412759319,0.07218760384837924
9471,83.45985062691322,75.03601971834966,10.093273406659002
9472,92.34070247368348,92.20236288538645,0.14981431220588232
9473,97.788615560981,97.14470278322958,0.6584741731514546
9474,81.4733003300263,77.54304356666188,4.82398128889344
9475,158.47365291008683,108.19714106924913,31.725470396876048
9476,145.46422240537362,135.2162732967819,7.044996315336672
9477,109.00485616093745,102.94154217668998,5.5624255632202715
9478,90.25421873796262,81.88235205680674,9.275872971059817
9563,97.70480711476449,97.4963350262043,0.21336932615333162
9571,70.06336179963583,69.49362057818178,0.8131799657050048
9572,97.80852041957625,97.30273136348077,0.5171216719420358
9573,101.91923599922964,101.82846422630308,0.08906245424293072
9574,95.29020936066831,84.65167360579773,11.164353427542911
9575,78.35638242457766,78.34179087368844,0.01862203235743657
9576,79.70713058859081,79.66290316088077,0.055487416726015745
9577,71.65956553966352,71.426184598978125,0.3256800943849107
9671,89.63713516171744,89.12539226837247,0.5709050076418887
9672,106.32879823139795,103.12906153566536,3.009285112739798
9673,103.55880776962753,100.40534713855799,3.0450916720522723
9674,118.32281267786023,117.87031995731795,0.3824222145345846
9675,126.61315360840936,120.83221669170786,4.565826497443429
9676,113.3653915443333,110.60788751200857,2.43240374752851
9677,107.2146756123744,97.73871302087743,8.838307384108983
9678,102.11940723159988,101.42837990244449,0.6766856054972844
9679,89.0612373594708,85.44254487971791,4.063150913957146
9771,105.60439384798343,103.55213074049243,1.9433501132966258
9772,87.78251914058214,87.60846557843237,0.19827815817295238
9773,106.0288262690859,105.53346928534036,0.46719085853916076
9774,125.71680343799179,122.59348091681802,2.484411340218574
9775,104.35707929987309,101.56827544723315,2.672366715655423
9777,175.28311574896955,154.9733825245008,11.586816641002196
9778,172.778764127231,163.17730207385796,5.557084576842271
9779,86.72728136712998,86.21639560798565,0.5890715713567353
10042,68.6746144267783,68.03492760974224,0.9314749305481818
10044,110.10588842866974,108.44574406912714,1.507770731642655
12060,139.29004750280376,137.04486917197787,1.6118727583754329
12061,134.09234628916496,130.796284312594,2.4580537724823888
12062,154.5612974410692,153.09187670204102,0.9507041952649484
12063,151.82526798922504,146.5812344720192,3.45399259731787
12064,133.46452212729295,132.9556707873042,0.3812633738750665
12065,137.03943957853886,126.30120859433787,7.835869014953753
12066,108.44250089333056,108.41818410026256,0.022423674175418688
12067,156.4796728012939,154.3337885690396,1.3713501529232235
12068,113.91201282861552,91.6912945246206,19.506913934904073
12069,172.29577669422625,161.16143579257326,6.462341164295125
12070,133.67738277908745,128.63835320735566,3.7695453538757464
12071,118.7543795683623,117.18721831480757,1.3196660697911993
12072,150.43730033915568,146.1756315440573,2.832853810518138
12073,147.0419078584968,127.83510953458288,13.062125351635977
13071,149.50471863789699,148.68751875631585,0.54660474199507
13072,160.14226211479263,159.80910983952992,0.2080351999923019
13073,140.71462595167947,140.5046597638505,0.14921418893659935
13074,166.6069226252819,166.0821363503489,0.31498467570480937
13075,152.41315088437815,141.5140580915128,7.151018615928688
13076,151.45844556301577,148.0774437872697,2.2322966297309494
14521,124.14644513652198,121.44529956654767,2.1757735930367494
14522,112.66716586589315,112.66487252750761,0.0020354984239786687
14523,94.08798888866326,86.42876003097635,8.140495878544364
14524,94.11516461483552,94.1075277173719,0.008114417580716751
14625,124.69823906271378,124.46664312508835,0.1857251067586874
14626,149.42324515686514,148.58482414158496,0.5611048096298523
14627,129.82561884832958,129.77059936891612,0.042379524088952694
14628,105.9893110004468,105.70683841662857,0.2665104444513677
14713,150.37035168764706,149.74509918785583,0.41580836433103513
14729,120.16825805383529,120.03229448312567,0.11314433021797546
14730,137.62571070453123,133.84248544596278,2.7489233219588307
15081,135.28202639917345,132.52864190996138,2.0352921688855554
15082,195.628264798763,166.1832002580193,15.051538984426907
15083,108.01787510643271,96.9946286735117,10.205020624650812
15084,131.8072814834321,123.8939619188408,6.003704405045315
15085,122.07395426045221,116.87858345299232,4.25592079730231
15086,135.54466664404043,123.71135127573103,8.730196223349287
15087,138.85643523160934,125.34085093591517,9.733495082997402
15088,194.27133606859064,142.3156884304869,26.74385665405625
15089,168.9223005268672,124.17598264721491,26.48928989250614
15090,128.28834189694194,118.04543677372274,7.984283662694502
15091,151.5466169124878,143.38377891429204,5.3863544858341985
16051,140.15488575144286,137.5785419508183,1.8382119087832323
16052,143.03853093951062,141.10315601623947,1.3530444633059069
16061,104.85835525444152,104.73794895070179,0.11482757234514941
16062,124.96804924993161,123.93060130551878,0.8301705521048616
16063,96.22191018681767,96.21238782995943,0.009896245917123526
16064,112.32405500752427,112.03810828373263,0.2545730064432631
16065,113.84007495898213,109.22063672842144,4.057831332441696
16066,90.43963732788845,90.43010028185992,0.010545205963122301
16067,94.70504386427011,94.33163596889514,0.3942851195023256
16068,157.00938400830273,149.8719470947642,4.545866451626287
16069,116.50698405388981,115.51555537737929,0.8509607252831659
16070,108.10873538556758,106.19201014633937,1.772960559007792
16071,126.76857654797583,122.7666686935333,3.1568610797865917
16072,95.54179539168535,86.82207112324637,9.12660708613586
16073,93.73682307396598,87.20166473428971,6.971815478021376
16074,102.43327584335084,101.28455994837408,1.1214284474641507
16075,114.67244946658579,109.43079165517601,4.570982686593032
16076,123.05497958229894,121.68694954774129,1.1117226130964595
16077,127.85721202445589,127.0728363930578,0.6134778155870163
