"district_no","accumulation_period","Year","stations","Y_t","IR_t","IT_t","prediction"
1003,"3:9",2006,5280,89.3551470588235,547,13.2467289719626,89.3510244299443
1003,"3:9",2007,5280,73.8514705882353,627.3,13.3523364485981,72.6594053290541
1003,"3:9",2008,5280,95.847794117647,434.7,12.6985981308411,94.720011026613
1003,"3:9",2009,5280,89.5441176470588,351.5,13.1780373831776,91.9331252180081
1003,"3:9",2010,5280,90.1404411764706,482.3,12.4088785046729,91.8965049580168
1003,"3:9",2011,5280,83.3367647058823,571.7,13.0130841121495,83.4573731357728
1003,"3:9",2012,5280,87.7330882352941,386.2,12.5242990654206,91.9422510227988
1003,"3:9",2013,5280,89.5294117647059,471.3,11.8172897196262,90.4175066432372
1003,"3:9",2014,5280,106.425735294118,425.3,13.7514018691589,101.463760846674
1003,"3:9",2015,5280,100.722058823529,415.6,12.4892523364486,93.3655803273845
1003,"3:9",2016,5280,97.7183823529412,397.1,13.3897196261682,97.6243550237734
1003,"3:9",2017,5280,85.2147058823529,577.2,12.9285046728972,81.8430143993181
1003,"3:9",2018,5280,76.3110294117647,248.3,14.0345794392523,77.1288770473176
1003,"3:9",2019,5280,86.1073529411765,524.8,13.4028037383178,93.6001482065469
1003,"3:9",2020,5280,84.6036764705882,302.8,13.1056074766355,83.5524550685217
1003,"3:9",2021,5280,88.9,521.4,12.8373831775701,90.3857837876074
1051,"3:7",2006,1266,86.3977941176471,242.2,11.2712418300654,86.693998368914
1051,"3:7",2007,1266,76.4579411764706,443.9,12.5150326797386,75.3859806670068
1051,"3:7",2008,1266,97.8180882352941,351.2,11.662091503268,93.9494802328182
1051,"3:7",2009,1266,93.0782352941176,368.4,11.8313725490196,92.2877482389568
1051,"3:7",2010,1266,88.3383823529412,235.8,11.1738562091503,85.1840475535736
1051,"3:7",2011,1266,89.4985294117647,254.1,11.7418300653595,89.8352083055594
1051,"3:7",2012,1266,87.0586764705882,380.9,11.1418300653595,93.0950184504927
1051,"3:7",2013,1266,86.4188235294118,269.3,10.1980392156863,89.6127239195104
1051,"3:7",2014,1266,102.178970588235,304.9,12.8503267973856,94.9285419194037
1051,"3:7",2015,1266,98.5391176470588,418.5,10.9287581699346,89.2350306852325
1051,"3:7",2016,1266,84.2992647058824,382.3,11.918954248366,90.4782910193519
1051,"3:7",2017,1266,89.6594117647059,390.6,11.7699346405229,89.8403548809487
1051,"3:7",2018,1266,76.3195588235294,184,12.8111111111111,81.1699231192451
1051,"3:7",2019,1266,88.7797058823529,360.1,12.3248366013072,92.0642939204528
1051,"3:7",2020,1266,93.9398529411765,243.9,11.6248366013072,87.9680017386834
1051,"3:7",2021,1266,85.7,369.4,11.6091503267974,92.7537099210267
1053,"3:8",2006,1736,83.6044117647059,407.5,12.7,88.7005649661211
1053,"3:8",2007,1736,72.8241176470588,505.3,13.6603260869565,77.5994855118981
1053,"3:8",2008,1736,91.7438235294118,363.6,13.0739130434783,90.3757801533661
1053,"3:8",2009,1736,90.8635294117647,328.6,13.3489130434783,89.4721242392282
1053,"3:8",2010,1736,86.8832352941176,451.8,12.6885869565217,85.5195748273821
1053,"3:8",2011,1736,77.6029411764706,381.4,13.1771739130435,89.2755604117287
1053,"3:8",2012,1736,87.4226470588235,302,12.9266304347826,92.0258624416776
1053,"3:8",2013,1736,91.4423529411765,272.9,12.0266304347826,89.4693270456054
1053,"3:8",2014,1736,104.162058823529,323.3,13.6826086956522,85.9925390562072
1053,"3:8",2015,1736,95.8817647058823,347.9,12.75,91.4523555696349
1053,"3:8",2016,1736,90.9014705882353,321.1,13.0695652173913,91.3367687960177
1053,"3:8",2017,1736,83.8211764705882,530.1,12.9744565217391,78.2114060856484
1053,"3:8",2018,1736,66.4408823529412,238.7,14.3891304347826,70.9921483725803
1053,"3:8",2019,1736,84.8605882352941,340.2,13.8565217391304,83.4828761152233
1053,"3:8",2020,1736,86.2802941176471,303.8,13.2135869565217,90.633035105235
1053,"3:8",2021,1736,86.1,441.6,12.6755434782609,86.2958854200952
1054,"3:8",2006,7298,86.7213235294118,361.2,11.9989130434783,85.0558580483403
1054,"3:8",2007,7298,79.2732352941176,527.2,13.2358695652174,82.5154060762062
1054,"3:8",2008,7298,88.3251470588235,430.9,12.475,91.0484042669787
1054,"3:8",2009,7298,94.0770588235294,418.3,12.808152173913,92.5882094356222
1054,"3:8",2010,7298,92.3289705882353,405.3,11.9646739130435,92.7410294724357
1054,"3:8",2011,7298,84.1808823529412,495.2,12.4760869565217,85.1088303177481
1054,"3:8",2012,7298,88.2327941176471,423,12.1891304347826,91.8222591940371
1054,"3:8",2013,7298,82.2847058823529,306.3,11.2021739130435,82.098287093463
1054,"3:8",2014,7298,99.4366176470588,470.9,13.1989130434783,94.8987787672643
1054,"3:8",2015,7298,98.4885294117647,445.7,11.9614130434783,94.4538103008612
1054,"3:8",2016,7298,84.2404411764706,424.9,12.6141304347826,91.3298994253155
1054,"3:8",2017,7298,86.3923529411765,513.8,12.3141304347826,81.9720940661485
1054,"3:8",2018,7298,72.0442647058824,285.7,13.3315217391304,74.9887269183928
1054,"3:8",2019,7298,90.0961764705882,348.9,13.0222826086957,87.0387957476265
1054,"3:8",2020,7298,91.8480882352941,365.4,12.6244565217391,85.2727319128012
1054,"3:8",2021,7298,87.3,412.1,12.0548913043478,92.337467192048
1055,"3:4",2006,2306,95.4014705882353,91.1,3.93934426229508,95.2164521540572
1055,"3:4",2007,2306,85.9747058823529,53.9,8.24918032786885,94.9028513043839
1055,"3:4",2008,2306,107.647941176471,100.7,6.25081967213115,99.3836131586179
1055,"3:4",2009,2306,106.721176470588,48,7.24590163934426,96.1447961340311
1055,"3:4",2010,2306,93.5944117647059,55.9,6.27868852459016,101.40445079678
1055,"3:4",2011,2306,79.7676470588235,21.5,6.82786885245902,81.1181034363583
1055,"3:4",2012,2306,102.040882352941,52.3,6.76229508196721,99.3310797031309
1055,"3:4",2013,2306,99.9141176470588,50.4,3.20327868852459,98.5746085873789
1055,"3:4",2014,2306,111.987352941176,78.3,7.75409836065574,102.883829562307
1055,"3:4",2015,2306,109.460588235294,77.4,6.5,104.034251424322
1055,"3:4",2016,2306,99.0338235294118,64.5,5.67540983606557,103.428673049755
1055,"3:4",2017,2306,91.9070588235294,92.8,6.60327868852459,102.250735332435
1055,"3:4",2018,2306,83.7802941176471,125.3,5.37213114754098,82.0468913684007
