"district_no","accumulation_period","corrcoef_"
9777,"3:4",0.902315183018272
9778,"3:7",0.837468580261712
9779,"3:7",0.751867674629902
10042,"3:6",0.73068137382469
10044,"3:7",0.68639766007715
12060,"3:7",0.623505438861251
12061,"3:7",0.599888329926433
12062,"3:5",0.672369784652392
12063,"3:8",0.840059835397044
12064,"3:6",0.635718678467702
12065,"3:9",0.631776169528128
12066,"3:5",0.798522295430719
12067,"3:5",0.68468591934613
12068,"3:8",0.822690238182627
12069,"3:3",0.743103371049291
12070,"3:10",0.835859838162691
12071,"3:6",0.721798523579559
12072,"3:3",0.719877233202508
12073,"3:7",0.626272707090059
13071,"3:9",0.802816316225999
13072,"3:10",0.809701892837667
13073,"3:10",0.775788038282305
13074,"3:10",0.879602187943373
13075,"3:7",0.703465007769697
13076,"3:9",0.773203864913031
14521,"3:8",0.635821391666273
14522,"3:5",0.808536906264445
14523,"3:6",0.660841142090122
14524,"3:8",0.795056786065997
14625,"3:8",0.687186811772659
14626,"3:7",0.838146879823821
14627,"3:10",0.714813774634214
14628,"3:8",0.641751543892367
14713,"3:6",0.787659220655663
14729,"3:6",0.713480029133641
14730,"3:6",0.777551329059891
15081,"3:6",0.764435754428213
15082,"3:6",0.845891395280793
15083,"3:6",0.722479560869861
15084,"3:8",0.652303360607486
15085,"3:6",0.653875626662334
15086,"3:4",0.635660116849432
15087,"3:3",0.686862463247201
15088,"3:3",0.707749827741056
15089,"3:3",0.691323457808059
15090,"3:7",0.806460330055106
15091,"3:6",0.904938077059219
16051,"3:10",0.604545796612863
16052,"3:8",0.715824411285961
16061,"3:6",0.812064093834635
16062,"3:7",0.685478434217592
16063,"3:6",0.701325404152028
16064,"3:10",0.535004688125649
16065,"3:10",0.728053344160527
16066,"3:4",0.758736301160947
16067,"3:5",0.592806684492383
16068,"3:10",0.710715163796017
16069,"3:10",0.732357587474928
16070,"3:8",0.786908578314099
16071,"3:8",0.841662649702768
16072,"3:5",0.734173125752575
16073,"3:10",0.852499443297192
16074,"3:8",0.843116487385066
16075,"3:6",0.739385849081759
16076,"3:10",0.653889437109315
16077,"3:10",0.797902243156707
