district_no,accumulation_period,Year,stations,Y_t,IR_t,IT_t,prediction,strike_level_mixed,n_mixed,fair_premium,yt_price,z,revenue
9277,03:03:00,2016,1332,72.32794118,40.3,4.451612903,79.4644967,79.69191176,0.227415063,1.8706226926042786,1157.24705888,6.049493205182657,1147.3064854900044
9277,03:03:00,2017,1332,83.06235294,64.3,7.551612903,85.76195823,79.69191176,6.07004647,1.8706226926042786,1328.99764704,6.049493205182657,1354.402032647038
9277,03:03:00,2018,1332,74.69676471,51.8,2.732258065,80.85325631,79.69191176,1.161344544,1.8706226926042786,1195.14823536,6.049493205182657,1190.8574620194338
9277,03:03:00,2019,1332,83.63117647,43.7,6.870967742,86.37274413,79.69191176,6.680832365,1.8706226926042786,1338.09882352,6.049493205182657,1367.1981542486617
9277,03:03:00,2020,1332,80.26558824,39.3,5.358064516,81.19118817,79.69191176,1.499276403,1.8706226926042786,1284.24941184,6.049493205182657,1282.002954984269
9277,03:03:00,2021,1332,73.9,20,4.609677419,72.07952871,79.69191176,7.612383058,1.8706226926042786,1182.4,6.049493205182657,1217.1347403162486
9278,03:09:00,2006,3271,81.61323529,669.6,13.27196262,82.65530867,86.08161765,3.426308974,1.8706226926042786,1305.81176464,6.275748326059684,1315.5748602163433
9278,03:09:00,2007,3271,91.91235294,570.4,14.08364486,91.26928891,86.08161765,5.187671265,1.8706226926042786,1470.59764704,6.275748326059684,1491.4146090656711
9278,03:09:00,2008,3271,89.31147059,607.1,13.46728972,87.40626117,86.08161765,1.324643526,1.8706226926042786,1428.98352944,6.275748326059684,1425.5571015991197
9278,03:09:00,2009,3271,81.71058824,686.3,14.16542056,79.16826641,86.08161765,6.913351233,1.8706226926042786,1307.36941184,6.275748326059684,1339.016307036162
9278,03:09:00,2010,3271,78.20970588,623.4,13.0546729,78.4964776,86.08161765,7.585140052,1.8706226926042786,1251.35529408,6.275748326059684,1287.2181668324667
9278,03:09:00,2011,3271,89.40882353,601.8,14.0046729,89.87963673,86.08161765,3.798019078,1.8706226926042786,1430.54117648,6.275748326059684,1442.637031119301
9278,03:09:00,2012,3271,87.40794118,625.8,14.1364486,86.68678386,86.08161765,0.605166212,1.8706226926042786,1398.52705888,6.275748326059684,1390.5853724901463
9278,03:09:00,2013,3271,81.00705882,545.3,13.29252336,83.08074491,86.08161765,3.000872734,1.8706226926042786,1296.11294112,6.275748326059684,1303.206105925318
9278,03:09:00,2014,3271,101.1061765,554.6,13.96168224,92.26566433,86.08161765,6.184046686,1.8706226926042786,1617.698824,6.275748326059684,1644.768787406139
9278,03:09:00,2015,3271,90.20529412,356.4,14.34299065,89.71300924,86.08161765,3.631391592,1.8706226926042786,1443.28470592,6.275748326059684,1454.3348483929608
9278,03:09:00,2016,3271,79.50441176,651.1,13.89252336,86.77597452,86.08161765,0.694356878,1.8706226926042786,1272.07058816,6.275748326059684,1264.688639942996
9278,03:09:00,2017,3271,86.60352941,549.6,14.04672897,92.33479319,86.08161765,6.253175544,1.8706226926042786,1385.65647056,6.275748326059684,1413.1602692810147
9278,03:09:00,2018,3271,75.20264706,342.3,15.33130841,75.89196503,86.08161765,10.18965261,1.8706226926042786,1203.24235296,6.275748326059684,1255.4504910385367
9278,03:09:00,2019,3271,88.80176471,442.8,14.77242991,87.76942905,86.08161765,1.687811402,1.8706226926042786,1420.82823536,6.275748326059684,1419.6809577090055
9278,03:09:00,2020,3271,92.00088235,489.5,14.05233645,93.24928155,86.08161765,7.167663902,1.8706226926042786,1472.0141176,6.275748326059684,1505.2570151029345
9278,03:09:00,2021,3271,83.3,670.1,13.16168224,80.66299717,86.08161765,5.418620478,1.8706226926042786,1332.8,6.275748326059684,1355.0663411625605
9279,03:03:00,2006,1332,81.26544118,118.9,1.348387097,80.63368854,83.80147059,3.167782052,1.8706226926042786,1300.24705888,0.7726615992024403,1301.249324105051
9279,03:03:00,2007,1332,89.11441176,36.9,5.932258065,86.57350424,83.80147059,2.772033653,1.8706226926042786,1425.83058816,0.7726615992024403,1426.5270737941978
9279,03:03:00,2008,1332,89.16338235,72.2,4.032258065,84.30568683,83.80147059,0.504216243,1.8706226926042786,1426.6141176,0.7726615992024403,1425.5583478074882
