"accumulation_period","term","estimate","std.error","statistic","p.value","district_no"
"3:5","IR_t_squared",-0.000558275590596218,0.00137001820188399,-0.4074950170943,0.692231002992307,1003
"3:5","IT_t_squared",-1.94090704903989,2.22512955973333,-0.872266983533533,0.403520069135827,1003
"3:5","IR_t_IT_t",0.0145853584827263,0.112771189328212,0.129335857585723,0.899656336220416,1003
"3:6","(Intercept)",-122.29063111958,389.453298905467,-0.314005893551988,0.759969173877163,1003
"3:6","IR_t",0.684985446714728,0.661196919593571,1.03597797632781,0.324614688333269,1003
"3:6","IT_t",30.6095403296625,68.421035697534,0.447370315541215,0.664142099326103,1003
"3:6","IR_t_squared",-0.00124903971818415,0.000650914115146503,-1.91890095654636,0.0839613186324968,1003
"3:6","IT_t_squared",-1.53027648835113,3.07990777799592,-0.496857892721344,0.630030119860461,1003
"3:6","IR_t_IT_t",-0.0115534158886287,0.0486457987424625,-0.237500795285407,0.81706342197109,1003
"3:7","(Intercept)",728.835582236172,522.137926376105,1.39586792190073,0.192970118217052,1003
"3:7","IR_t",0.18681086173533,0.496538959851239,0.376225989983339,0.714607904180968,1003
"3:7","IT_t",-115.024033703441,80.3015050043847,-1.4324019667771,0.182538022249442,1003
"3:7","IR_t_squared",-0.000976333313990987,0.000224855868370794,-4.34204061946466,0.00146169130306659,1003
"3:7","IT_t_squared",4.57496924132288,3.10285518638607,1.47443853048501,0.171135722277453,1003
"3:7","IR_t_IT_t",0.0327844193866311,0.0380374845560339,0.86189767197501,0.40893629535668,1003
"3:8","(Intercept)",-736.074153968021,729.078778545585,-1.00959481420703,0.33649376591306,1003
"3:8","IR_t",1.18055694498058,0.631553784489366,1.86928963767528,0.0911142562152277,1003
"3:8","IT_t",91.3365812026873,104.793088892205,0.871589740966985,0.403872293851998,1003
"3:8","IR_t_squared",-0.00097920357818659,0.000233291547264373,-4.19733843625688,0.00183643654686856,1003
"3:8","IT_t_squared",-2.93066424972006,3.82635214371445,-0.765915979409856,0.461422310533416,1003
"3:8","IR_t_IT_t",-0.0335412316721928,0.0413786309658301,-0.810593073992483,0.436465495249229,1003
"3:9","(Intercept)",121.601920628571,785.408271171412,0.154826381503731,0.880038562545063,1003
"3:9","IR_t",0.614080789668598,0.533399431586791,1.15125880026117,0.27640845764476,1003
"3:9","IT_t",-30.5075564928505,108.845572117486,-0.280282935716678,0.784973125606546,1003
"3:9","IR_t_squared",-0.000731789915248689,0.000122377438052676,-5.97977802847695,0.000135723588223068,1003
"3:9","IT_t_squared",1.36549753801093,3.81042580565956,0.358358253815829,0.727524766515392,1003
"3:9","IR_t_IT_t",0.00211408284662613,0.0363657006050283,0.0581339782117058,0.954787175491862,1003
"3:10","(Intercept)",1071.51667768184,1074.38866632124,0.997326862494522,0.342126357202735,1051
"3:10","IR_t",0.519438642712355,0.992851238007995,0.523178722881516,0.61224515367667,1051
"3:10","IT_t",-184.080072393338,161.730411553257,-1.13819083637663,0.281574789533657,1051
"3:10","IR_t_squared",-0.000200804237983767,0.000240685533672535,-0.834301234975639,0.423593209291791,1051
"3:10","IT_t_squared",7.78940718257965,6.38962523152634,1.2190710566477,0.250792337527663,1051
"3:10","IR_t_IT_t",-0.0185296716919035,0.0589080753336211,-0.314552318794363,0.759566313676302,1051
"3:3","(Intercept)",82.6201696256899,9.62345751776139,8.58528958778102,6.31122224775831e-06,1051
"3:3","IR_t",-0.027696256036039,0.250922421894292,-0.110377764677031,0.914293578944171,1051
"3:3","IT_t",3.10354304131646,3.95451273402481,0.784810481102624,0.450756735277153,1051
"3:3","IR_t_squared",0.000799152997061225,0.00201332911495156,0.396931128212713,0.699757448660303,1051
"3:3","IT_t_squared",-0.234422943686325,0.517173835463347,-0.453276882184693,0.660026049151524,1051
"3:3","IR_t_IT_t",-0.0133347161123075,0.0361432803185739,-0.368940394861028,0.719863650627931,1051
"3:4","(Intercept)",80.2492066559726,31.0259873154071,2.58651580818903,0.0271115420400698,1051
"3:4","IR_t",-0.0278513676760149,0.37550207914548,-0.0741710078926741,0.942337031867362,1051
"3:4","IT_t",2.41981569875742,10.8380416191736,0.223270567117636,0.827819749811312,1051
"3:4","IR_t_squared",-0.000328963176835441,0.0017211170874343,-0.1911335255673,0.852245848711566,1051
"3:4","IT_t_squared",-0.236185822164914,0.899151420994922,-0.262676359787733,0.79813234381416,1051
"3:4","IR_t_IT_t",0.0158342472045521,0.0343655234666095,0.460759668623617,0.654828639674526,1051
"3:5","(Intercept)",54.7641576028576,164.786857378999,0.332333284789233,0.746498836585463,1051
"3:5","IR_t",-0.627753951006377,0.854147477478525,-0.734947965730145,0.479252043885188,1051
"3:5","IT_t",21.0367776812955,31.0254693748967,0.678048651805952,0.513123876954044,1051
"3:5","IR_t_squared",0.000304093386286932,0.0012306217161186,0.247105493348556,0.80982573425834,1051
