district_no,Std_Without,Std_With,Hedging_Effectiveness
1003,132.71674687830787,110.06176281252813,17.07017735037825
1051,113.35668723624696,111.53128295233839,1.6103190102091098
1053,141.7716757020678,133.0161073833356,6.175823397285625
1054,110.24980177831085,109.64827885795309,0.5456000016828167
1055,150.7658778683408,144.83510824022125,3.933761214390107
1056,125.32646322430774,109.4302038056788,12.6838809694789
1057,139.5209623999912,133.06571225055018,4.6267242129068205
1058,118.05645229894006,118.04097134681166,0.013113177490035743
1059,124.22461326635919,119.4077223100313,3.877565668890133
1060,172.00891759828423,159.60046084156582,7.213845031975355
1061,161.99056510894007,159.4708599352921,1.5554641543187653
1062,152.35443753069327,132.12218014126904,13.279729633965044
3101,128.69477323816804,128.51876627626308,0.13676310037800388
3102,117.46248542557363,117.07788485127338,0.32742417539252616
3103,113.92203126631459,113.53066840074165,0.34353571580729475
3151,114.15771189154827,114.07319823968959,0.07403236317400519
3153,112.44959397131561,111.53634683790939,0.8121391115375419
3154,103.81663835821304,99.91916489900467,3.754189618200094
3155,101.84594348289754,99.28933880657875,2.510266574090996
3157,105.62185157159367,103.45141807123288,2.0549095362995047
3158,121.43141357952463,121.42031926013969,0.009136284473599076
3159,102.88150260073574,100.14716637603031,2.6577530028083745
3241,88.29502346467454,87.55601237393306,0.8369793242505358
3251,102.40716641589755,101.2359706114418,1.1436658638705721
3252,95.01294921034216,92.4866687877973,2.658880124805001
3254,87.03931948984244,86.4325674449261,0.6971010900276589
3255,106.11077541335546,104.39443414077033,1.61749951020441
3256,98.62688334144548,97.2306807065804,1.4156410377801703
3257,93.3340253195636,91.61688859149774,1.839775711147783
3351,114.01279102647668,113.44360788092675,0.49922744669740565
3352,122.8953728129072,122.4552561673863,0.35812304031244907
3353,125.13544862252573,120.88547766419036,3.396296577123812
3354,136.97130702822258,136.81769010154846,0.11215263255279145
3355,134.6415961132425,124.15428953399508,7.789053963997063
3357,166.47972599877582,165.5947219755038,0.5315986784351899
3358,133.98776367895042,133.83570503473445,0.11348696331727659
3359,111.00257039949177,104.76246827927301,5.621583444204041
3360,105.75158698109263,105.74806911968714,0.0033265329683546292
3361,148.12676542507137,148.12629664665454,3.164711087060465e-4
3452,131.82584161554618,125.89300000180783,4.500514877076036
3453,104.53734125970038,103.64997583522367,0.8488501943743195
3454,134.55206896493678,134.31220296907517,0.17827001673539017
3455,140.47959712300977,130.53258455744333,7.080752485968779
3456,110.29254446564329,110.29234619271038,0.00017977002331967691
3457,102.57344746809493,88.95303759480694,13.278689767665808
3458,125.21381067723239,123.02256269627168,1.7500050266892366
3459,71.33302752362525,64.14316414378403,10.079290939193568
3460,122.84431671436671,119.59857923728083,2.6421551797408394
3462,152.56280367988347,137.19081222529758,10.075844887355597
5158,88.75584558489778,88.75366034623703,0.002462078577875138
5162,99.91601555659649,95.24585748241188,4.67408357726119
5166,91.28897345523046,89.36395957246145,2.108703614367035
5334,146.68175738153298,144.3130752003177,1.6148444247597191
5370,126.53097210549221,112.31250771167889,11.237141513430412
5382,90.26114339982149,80.75537927707259,10.531402289734011
5558,125.46945332489126,113.60582369935882,9.45539277581189
5570,98.14244885199606,93.81792278474113,4.4063767695225815
5754,107.9474463274951,104.51535186873532,3.1794123673360075
5762,96.79310686848976,80.73006201521594,16.59523634787161
5766,101.11068460442974,80.69763873632229,20.18881184314831
5915,86.75516977306327,77.34227081456677,10.849957395183523
5974,89.66265596395078,79.20547910620002,11.662800689235791
6432,70.86296967096582,70.06429556650114,1.12706835202239
6433,80.29277407480357,72.37233011427898,9.86445424484354
6434,95.5759103294033,92.31963529337456,3.4070039456657604
6435,94.61557571894515,78.79773581158052,16.718008411586908
6437,100.6023558762079,100.46927283612347,0.13228620634708502
6439,114.63122443595505,111.14458580413014,3.0416133553322573
6440,80.04418074156452,76.90270903548938,3.9246721959937134
6531,124.49039323515353,123.04729836416587,1.1592017933960257
6533,110.70499841700847,104.41353936361442,5.683084904346509
6534,88.54092998355587,87.71065398690362,0.9377312806703623
6535,88.3535954859457,88.34351421814112,0.011410138714936017
6631,97.619449042558,94.55734404138451,3.1367775901281134
6632,109.75658829660227,109.2171108768334,0.4915216736794036
6633,101.1147491811199,87.28734842031318,13.674959264388475
6634,97.4097432015311,90.24348953175081,7.356814045751071
6635,76.29534357338203,73.89222928174414,3.149752237928569
6636,76.06562780476695,75.06162367085791,1.3199182901453883
7133,76.14726701930816,76.12834883116125,0.024844211601337606
7137,107.08284262342751,98.19539143227219,8.29960334767106
